article_id,topic_id,category_label,percentage
1894,0,local_politics,31.34
1894,1,justice,30.36
1894,3,crime_news,31.26
1895,0,local_politics,95.04
1896,0,local_politics,95.04
1897,3,crime_news,89.1
1898,3,crime_news,84.8
1899,3,crime_news,95.12
1900,3,crime_news,74.72
1901,3,crime_news,95.12
1902,3,crime_news,96.78
1903,3,crime_news,95.57
1904,3,crime_news,96.78
1905,3,crime_news,97.47
1906,3,crime_news,95.95
1907,3,crime_news,74.48
1907,4,sport_cultural_events,21.44
1908,3,crime_news,89.24
1909,2,education_social,22.62
1909,3,crime_news,74.63
1910,3,crime_news,79.19
1911,0,local_politics,22.0
1911,3,crime_news,69.55
1912,3,crime_news,89.97
1913,3,crime_news,78.85
1914,3,crime_news,95.57
1915,3,crime_news,97.47
1916,3,crime_news,96.78
1917,3,crime_news,73.55
1917,4,sport_cultural_events,24.54
1918,3,crime_news,91.17
1919,3,crime_news,96.27
1920,3,crime_news,94.46
1921,3,crime_news,95.57
1922,0,local_politics,37.33
1922,3,crime_news,55.23
1923,3,crime_news,96.54
1924,3,crime_news,98.64
1925,2,education_social,47.67
1925,3,crime_news,48.81
1926,3,crime_news,96.27
1927,1,justice,26.24
1927,3,crime_news,70.29
1928,3,crime_news,99.25
1929,3,crime_news,90.61
1930,3,crime_news,96.98
1931,3,crime_news,85.18
1932,3,crime_news,99.34
1933,3,crime_news,96.98
1934,3,crime_news,95.95
1935,3,crime_news,95.95
1936,3,crime_news,91.67
1937,3,crime_news,95.57
1938,3,crime_news,93.51
1939,3,crime_news,95.57
1940,0,local_politics,26.1
1940,2,education_social,41.62
1941,0,local_politics,72.74
1941,2,education_social,24.4
1942,0,local_politics,92.59
1943,0,local_politics,86.84
1944,3,crime_news,93.51
1945,3,crime_news,98.16
1946,3,crime_news,92.88
1947,2,education_social,41.12
1947,4,sport_cultural_events,35.94
1948,4,sport_cultural_events,97.61
1949,4,sport_cultural_events,97.61
1950,0,local_politics,97.25
1951,0,local_politics,63.49
1951,3,crime_news,35.15
1952,3,crime_news,91.67
1953,4,sport_cultural_events,83.34
1954,3,crime_news,33.25
1954,4,sport_cultural_events,64.22
1955,2,education_social,28.81
1955,3,crime_news,63.41
1956,3,crime_news,96.78
1957,0,local_politics,99.04
1958,3,crime_news,99.23
1959,3,crime_news,96.78
1960,1,justice,41.3
1960,3,crime_news,49.13
1961,0,local_politics,22.0
1961,1,justice,75.33
1962,1,justice,96.26
1963,1,justice,90.27
1964,0,local_politics,30.23
1964,3,crime_news,67.51
1965,4,sport_cultural_events,94.75
1966,4,sport_cultural_events,86.2
1967,0,local_politics,23.6
1967,3,crime_news,23.5
1967,4,sport_cultural_events,51.69
1968,0,local_politics,96.07
1969,0,local_politics,20.59
1969,2,education_social,64.35
1970,3,crime_news,96.98
1971,3,crime_news,96.78
1972,0,local_politics,96.64
1973,3,crime_news,80.92
1975,0,local_politics,95.7
1976,4,sport_cultural_events,96.32
1977,0,local_politics,48.69
1977,4,sport_cultural_events,46.91
1978,0,local_politics,97.78
1980,0,local_politics,23.92
1980,2,education_social,62.73
1981,2,education_social,79.68
1982,4,sport_cultural_events,95.16
1983,4,sport_cultural_events,81.65
1984,0,local_politics,86.84
1985,1,justice,24.76
1985,3,crime_news,45.24
1986,1,justice,34.16
1986,3,crime_news,59.05
1987,0,local_politics,33.34
1987,1,justice,65.95
1990,2,education_social,29.92
1990,3,crime_news,67.33
1991,2,education_social,49.6
1991,3,crime_news,30.66
1992,0,local_politics,91.75
1993,2,education_social,48.31
1993,3,crime_news,49.13
1994,3,crime_news,44.63
1994,4,sport_cultural_events,51.98
1995,2,education_social,95.66
1996,0,local_politics,28.8
1996,2,education_social,61.92
1997,1,justice,26.3
1997,3,crime_news,65.83
1998,3,crime_news,90.61
1999,1,justice,23.7
1999,3,crime_news,34.73
1999,4,sport_cultural_events,34.43
2000,0,local_politics,84.32
2002,3,crime_news,52.72
2002,4,sport_cultural_events,37.09
2003,3,crime_news,87.49
2005,2,education_social,75.42
2006,0,local_politics,92.59
2007,0,local_politics,97.66
2008,0,local_politics,23.92
2008,2,education_social,68.38
2009,0,local_politics,93.13
2010,0,local_politics,92.94
2011,0,local_politics,76.95
2012,0,local_politics,30.84
2012,4,sport_cultural_events,56.49
2013,1,justice,63.57
2013,3,crime_news,25.36
2014,3,crime_news,97.71
2015,2,education_social,38.98
2015,4,sport_cultural_events,60.11
2016,0,local_politics,23.6
2016,2,education_social,73.75
2017,3,crime_news,96.78
2018,1,justice,73.53
2019,0,local_politics,97.07
2021,0,local_politics,52.46
2021,1,justice,45.04
2022,2,education_social,27.17
2022,3,crime_news,61.13
2023,0,local_politics,87.51
2024,0,local_politics,83.26
2025,3,crime_news,96.27
2026,2,education_social,29.92
2026,3,crime_news,67.33
2027,3,crime_news,68.46
2027,4,sport_cultural_events,29.87
2028,3,crime_news,97.47
2029,3,crime_news,97.47
2030,3,crime_news,88.05
2031,3,crime_news,92.12
2032,3,crime_news,96.27
2033,3,crime_news,92.05
2034,3,crime_news,92.77
2035,3,crime_news,91.51
2038,3,crime_news,80.51
2039,0,local_politics,23.6
2039,2,education_social,22.62
2039,3,crime_news,52.72
2040,0,local_politics,96.07
2041,0,local_politics,96.38
2042,0,local_politics,96.38
2043,0,local_politics,46.09
2043,3,crime_news,52.37
2044,0,local_politics,39.71
2044,3,crime_news,58.75
2045,4,sport_cultural_events,96.72
2046,0,local_politics,64.86
2046,1,justice,32.05
2047,0,local_politics,55.61
2047,1,justice,39.14
2048,0,local_politics,57.83
2048,1,justice,28.64
2049,0,local_politics,70.41
2050,0,local_politics,24.12
2050,3,crime_news,56.33
2051,3,crime_news,90.62
2052,0,local_politics,97.25
2053,0,local_politics,95.7
2054,3,crime_news,88.39
2055,0,local_politics,50.57
2055,1,justice,23.74
2056,0,local_politics,79.27
2057,0,local_politics,96.64
2058,4,sport_cultural_events,69.09
2059,0,local_politics,83.3
2060,0,local_politics,76.14
2062,4,sport_cultural_events,75.4
2063,0,local_politics,36.19
2063,1,justice,43.34
2064,0,local_politics,46.53
2064,1,justice,51.25
2065,2,education_social,49.47
2065,4,sport_cultural_events,49.43
2066,3,crime_news,96.54
2067,3,crime_news,95.57
2068,3,crime_news,95.57
2069,3,crime_news,95.95
2070,2,education_social,48.67
2070,3,crime_news,38.62
2071,1,justice,95.53
2072,0,local_politics,95.7
2073,0,local_politics,95.7
2074,4,sport_cultural_events,96.53
2075,3,crime_news,92.52
2076,0,local_politics,89.34
2077,0,local_politics,60.12
2077,2,education_social,37.23
2078,0,local_politics,61.35
2078,3,crime_news,26.72
2079,0,local_politics,49.1
2079,1,justice,32.05
2080,3,crime_news,76.36
2081,1,justice,27.04
2081,3,crime_news,68.2
2082,3,crime_news,97.91
2083,4,sport_cultural_events,86.2
