pk_article,article_topic
1213,3
1213,3
1213,3
2090,4
2090,4
2090,3
2090,3
1213,3
2090,"0,1,4"
1093,3
63,"0,3"
1213,3
1213,3
1213,3
1761,4
1213,3
1213,4
2020,3
1810,3
1608,3
762,3
1213,3
1608,3
61,"0,3"
2090,3
1213,4
1213,4
1213,4
500,3
1213,4
1430,3
1213,"0,3"
1213,"2,3"
1213,"0,3"
2090,0
1213,"0,3"
2090,"2,3"
1213,3
1213,0
1213,"0,1,2"
1213,"2,3"
1213,"2,3"
1213,"0,3"
769,"0,3"
1361,3
2090,3
1794,3
2090,3
2090,2
2090,3
1213,3
2090,"1,2"
1213,3
769,3
735,3
1109,3
1363,"0,3"
127,1
84,3
1213,"1,2"
1161,3
1736,"0,4"
735,"0,4"
735,4
127,"0,3"
769,1
1213,3
1213,"0,3"
1213,3
1213,"1,2"
1475,4
1213,"0,3"
1213,3
693,"0,3"
1564,"0,3"
1213,4
1926,4
455,0
127,0
1800,"0,4"
1213,4
459,3
512,"0,4"
1579,"0,4"
1580,"0,4"
1295,3
769,3
1800,3
1667,3
769,3
1869,1
459,3
2090,"0,4"
1807,"0,4"
1213,0
769,2
769,0
1042,"0,1"
1042,3
324,0
324,3
982,2
1315,4
1213,"0,4"
982,0
982,3
982,2
1213,2
1213,"2,3"
1213,0
1213,0
1213,"2,3"
2071,"0,1,2"
1213,"2,3"
982,"2,3"
982,3
324,"0,3"
1773,"0,3"
1519,3
1360,2
51,2
1284,"2,3"
1213,2
546,"0,3"
2090,"0,1,2"
1580,"2,3"
324,"0,3"
1213,"0,3"
1761,2
1761,2
735,2
917,3
637,"0,1,3"
735,"0,3"
1586,2
735,"0,4"
735,3
1213,"0,3"
1329,"0,1,4"
845,"0,3"
840,"0,3"
269,"0,4"
269,"0,4"
138,"0,4"
269,"2,3"
845,3
825,0
138,0
845,3
845,"0,3"
269,"0,4"
269,"0,3"
269,0
1213,3
1335,3
86,"0,4"
269,"0,3"
130,"2,4"
1213,"0,3"
845,3
500,"0,4"
845,"0,3"
845,3
982,"0,4"
130,3
130,3
138,"0,1,4"
1213,"0,1"
1116,"0,1,4"
1363,3
1213,"0,2"
603,"0,2"
982,"0,1"
845,"0,2"
1029,"0,1"
988,3
130,3
845,"0,4"
70,"0,2"
845,"0,2"
1624,"0,1"
1347,"0,1"
845,"0,1"
1213,"0,1"
130,"0,4"
1213,"2,3"
1213,"0,1"
500,0
1001,"0,2"
500,"0,2"
1213,3
3,3
1752,"0,2"
517,"0,2"
877,"0,3"
84,2
1001,3
1213,4
1897,"0,3"
982,"0,1"
1752,"1,3"
1752,"0,1"
1001,"0,2"
1001,"0,2"
1001,0
1001,"0,2"
982,0
84,3
1001,"0,1"
275,1
1752,1
1752,3
1213,0
1213,"0,2"
3,0
812,3
1983,"0,1,2"
1752,3
845,3
269,"0,2,3"
1213,0
1983,0
424,"1,2"
1001,"0,1"
63,"1,2,3"
1001,3
1752,3
1752,4
126,3
1752,1
126,"0,1"
1002,"0,1"
1001,1
1588,"2,3"
1588,3
219,3
1236,3
1596,1
188,3
367,3
1736,4
367,1
51,1
1751,3
1772,0
1290,3
493,3
879,3
254,4
367,3
1213,"0,4"
1983,4
1213,3
1588,1
1823,"0,3"
1823,4
1588,0
84,"0,2"
1213,3
936,3
1944,"0,2"
1588,3
1944,0
1944,"0,3"
35,"0,2,3"
196,0
196,3
936,"0,2"
379,4
1213,4
1213,0
936,4
35,3
936,"0,1"
130,4
35,3
219,3
1588,"2,3"
1430,4
35,"0,4"
1519,0
1605,"0,2"
1944,3
1944,3
570,3
1944,4
1891,0
1460,3
1751,3
1797,3
1213,3
1092,3
35,3
35,3
659,3
897,4
936,3
1001,"0,4"
2090,"0,1,4"
978,"0,1"
1944,2
735,1
35,1
130,3
1686,3
261,1
219,1
1944,3
936,3
35,"0,4"
1891,1
344,3
936,3
1944,0
1944,3
1944,"0,2,3"
1213,3
936,"0,1,4"
2090,3
1213,"1,3"
982,3
500,3
1001,3
1674,"2,3"
1588,"0,4"
1588,3
1213,"0,1"
936,3
1394,0
2089,3
1213,"1,3"
599,3
421,3
1588,"1,3"
1926,"0,2"
1926,"0,3"
2059,0
1667,0
1838,"0,1"
936,3
500,3
750,0
1052,3
1944,2
1986,3
1213,3
1213,"0,1,4"
936,3
84,4
421,"2,3"
936,0
1539,3
936,3
1891,3
1052,0
1986,"0,1"
1213,4
1308,4
1986,4
1248,4
1507,4
1392,4
1392,3
1539,3
1308,3
1308,"2,3"
1161,3
1213,"0,4"
260,4
1213,3
1213,3
500,3
936,"1,3"
1315,0
84,0
1116,"0,1"
1213,3
1213,3
1512,3
1597,4
535,4
279,3
279,"0,1"
279,3
279,3
279,3
1213,3
464,3
764,3
84,3
1213,3
52,"2,3"
279,"0,3"
2028,3
2028,0
2028,0
